epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.7654,0.99808,3.07607,1.26211,0.65154,0.5393,0.60954,0.41945,1.00663,1.55811,1.21183,0.000138115,0.000138115,0.000138115
2,60.9365,1.0841,1.99061,1.31331,0.63769,0.59203,0.6355,0.42703,1.07004,1.4125,1.27262,0.000271628,0.000271628,0.000271628
3,86.3641,1.08879,1.82583,1.31759,0.61144,0.55799,0.58912,0.38128,1.15514,1.48137,1.34979,0.000399637,0.000399637,0.000399637
4,112.079,1.11013,1.79154,1.33467,0.6072,0.54053,0.57067,0.36183,1.20707,1.66285,1.39032,0.00039223,0.00039223,0.00039223
5,137.912,1.08354,1.73416,1.32467,0.62554,0.57973,0.61842,0.39933,1.16674,1.43472,1.33124,0.000383974,0.000383974,0.000383974
6,165.164,1.0759,1.65286,1.31616,0.60865,0.57618,0.58735,0.38304,1.15775,1.42466,1.34261,0.000375717,0.000375717,0.000375717
7,193.683,1.06273,1.58858,1.30425,0.64683,0.58828,0.62863,0.40936,1.16508,1.35614,1.35052,0.00036746,0.00036746,0.00036746
8,222.176,1.05872,1.53969,1.29779,0.68837,0.59856,0.65992,0.43411,1.13506,1.28334,1.32753,0.000359204,0.000359204,0.000359204
9,249.423,1.05315,1.48283,1.2898,0.67769,0.59027,0.63618,0.41646,1.14443,1.3198,1.32916,0.000350947,0.000350947,0.000350947
10,275.738,1.02756,1.43801,1.2766,0.68715,0.59893,0.65045,0.42677,1.14934,1.31326,1.3433,0.000342691,0.000342691,0.000342691
11,301.4,1.00126,1.40389,1.26943,0.69475,0.5928,0.65458,0.43076,1.13641,1.29445,1.3223,0.000334434,0.000334434,0.000334434
12,327.635,1.00637,1.37042,1.26562,0.69773,0.60944,0.67245,0.43602,1.12792,1.24187,1.31549,0.000326177,0.000326177,0.000326177
13,353.289,0.98935,1.30827,1.24698,0.6909,0.62022,0.68323,0.45319,1.126,1.22305,1.31778,0.000317921,0.000317921,0.000317921
14,379.879,0.99441,1.28574,1.24885,0.69346,0.62494,0.68561,0.45576,1.11298,1.2124,1.30886,0.000309664,0.000309664,0.000309664
15,406.499,0.98327,1.26966,1.24173,0.70782,0.64245,0.70009,0.47398,1.09537,1.18392,1.29632,0.000301408,0.000301408,0.000301408
16,433.194,0.96926,1.23297,1.22756,0.72127,0.63254,0.69453,0.46671,1.11299,1.18908,1.30628,0.000293151,0.000293151,0.000293151
17,459.64,0.96562,1.19145,1.22957,0.6985,0.63628,0.69403,0.46693,1.10594,1.18626,1.29422,0.000284894,0.000284894,0.000284894
18,485.114,0.96561,1.18857,1.22529,0.73419,0.63103,0.69928,0.4711,1.09568,1.14415,1.29215,0.000276638,0.000276638,0.000276638
19,510.194,0.94021,1.15057,1.20881,0.71748,0.62882,0.69447,0.46761,1.10652,1.17828,1.29055,0.000268381,0.000268381,0.000268381
20,535.239,0.92851,1.12455,1.20503,0.71724,0.65537,0.71282,0.48375,1.09558,1.12626,1.28761,0.000260125,0.000260125,0.000260125
21,559.727,0.93323,1.10752,1.20415,0.74063,0.6389,0.71446,0.48594,1.09211,1.16549,1.29804,0.000251868,0.000251868,0.000251868
22,585.499,0.91548,1.0844,1.19092,0.72265,0.66244,0.72189,0.48758,1.10216,1.11223,1.29265,0.000243611,0.000243611,0.000243611
23,610.954,0.91999,1.06247,1.19078,0.72057,0.64786,0.71252,0.47941,1.10298,1.11361,1.28513,0.000235355,0.000235355,0.000235355
24,636.782,0.91228,1.05409,1.1921,0.70682,0.65777,0.71038,0.4814,1.09465,1.13104,1.28799,0.000227098,0.000227098,0.000227098
25,663.054,0.90002,1.01832,1.17538,0.72825,0.66973,0.72343,0.49037,1.08975,1.10655,1.28272,0.000218842,0.000218842,0.000218842
26,688.467,0.88826,0.99942,1.16954,0.74215,0.65811,0.72584,0.49908,1.08321,1.08643,1.27658,0.000210585,0.000210585,0.000210585
27,713.613,0.8889,0.99504,1.17696,0.73525,0.66867,0.72572,0.49956,1.08755,1.09026,1.27562,0.000202328,0.000202328,0.000202328
28,739.346,0.88977,0.98605,1.17282,0.75354,0.64652,0.72596,0.49866,1.07661,1.07065,1.27224,0.000194072,0.000194072,0.000194072
29,766.283,0.86865,0.96721,1.16423,0.75214,0.65933,0.72678,0.50251,1.06721,1.07426,1.26418,0.000185815,0.000185815,0.000185815
30,793.528,0.85843,0.94978,1.14913,0.74516,0.64662,0.72422,0.49442,1.08807,1.08087,1.28122,0.000177559,0.000177559,0.000177559
31,820.557,0.87786,0.9604,1.16428,0.74727,0.66787,0.73411,0.5098,1.0688,1.06567,1.26871,0.000169302,0.000169302,0.000169302
32,847.617,0.84388,0.9157,1.14716,0.75289,0.66092,0.74109,0.51127,1.06569,1.0419,1.26161,0.000161045,0.000161045,0.000161045
33,875.133,0.84816,0.92038,1.14277,0.77166,0.65794,0.74024,0.51236,1.07487,1.05114,1.26964,0.000152789,0.000152789,0.000152789
34,902.579,0.84647,0.91871,1.14531,0.76528,0.65564,0.73477,0.50908,1.06096,1.05193,1.26513,0.000144532,0.000144532,0.000144532
35,930.156,0.8359,0.89231,1.13595,0.76334,0.66378,0.74007,0.51544,1.06713,1.03051,1.27033,0.000136276,0.000136276,0.000136276
36,957.654,0.81528,0.86976,1.13348,0.75046,0.67476,0.74223,0.51186,1.07085,1.03486,1.26923,0.000128019,0.000128019,0.000128019
37,984.861,0.81567,0.85361,1.12635,0.75369,0.665,0.74167,0.51506,1.06848,1.04798,1.26796,0.000119762,0.000119762,0.000119762
38,1011.72,0.81558,0.85091,1.12417,0.76835,0.66724,0.74274,0.51481,1.06497,1.04227,1.2695,0.000111506,0.000111506,0.000111506
39,1038.73,0.81184,0.83091,1.1174,0.75409,0.66913,0.74416,0.51672,1.06338,1.01536,1.26342,0.000103249,0.000103249,0.000103249
40,1065.91,0.80149,0.84111,1.12183,0.75551,0.67135,0.74265,0.51753,1.05948,1.03657,1.26007,9.49926e-05,9.49926e-05,9.49926e-05
41,1110.84,0.76137,0.73944,1.08754,0.74735,0.66319,0.7305,0.51063,1.05656,1.05351,1.26822,8.6736e-05,8.6736e-05,8.6736e-05
42,1137.66,0.73361,0.67368,1.0682,0.75903,0.66,0.73203,0.50843,1.07248,1.05401,1.27729,7.84794e-05,7.84794e-05,7.84794e-05
43,1164.33,0.71748,0.6672,1.05626,0.78747,0.65721,0.73908,0.51679,1.05131,1.02517,1.26212,7.02228e-05,7.02228e-05,7.02228e-05
44,1191.29,0.70846,0.6431,1.04546,0.75105,0.67411,0.73709,0.51515,1.05474,1.03996,1.2612,6.19662e-05,6.19662e-05,6.19662e-05
45,1218.8,0.70415,0.63387,1.03812,0.76323,0.67425,0.746,0.52269,1.05554,1.0247,1.26438,5.37096e-05,5.37096e-05,5.37096e-05
46,1247.67,0.695,0.6163,1.02968,0.76824,0.66638,0.74416,0.52302,1.05272,1.01623,1.26561,4.5453e-05,4.5453e-05,4.5453e-05
47,1275.65,0.68205,0.60916,1.03269,0.75637,0.68174,0.74282,0.52081,1.05852,1.02181,1.27037,3.71964e-05,3.71964e-05,3.71964e-05
48,1302.87,0.68392,0.60049,1.02669,0.75625,0.67474,0.74295,0.52289,1.05264,1.01519,1.26355,2.89398e-05,2.89398e-05,2.89398e-05
49,1329.47,0.6793,0.59768,1.02023,0.76914,0.66991,0.7439,0.5255,1.05285,1.01791,1.26637,2.06832e-05,2.06832e-05,2.06832e-05
50,1356.58,0.67038,0.59008,1.02183,0.75371,0.68365,0.74679,0.52703,1.04501,1.00903,1.26235,1.24266e-05,1.24266e-05,1.24266e-05
