epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.4494,0.99737,3.08781,1.26084,0.593,0.54555,0.58916,0.41028,1.0014,1.58647,1.20611,0.000138115,0.000138115,0.000138115
2,54.1609,1.08653,1.99053,1.31412,0.65345,0.59869,0.64463,0.43534,1.08367,1.42321,1.27445,0.000271628,0.000271628,0.000271628
3,78.8284,1.08733,1.82458,1.31845,0.60741,0.53071,0.56536,0.35995,1.17295,1.52111,1.3728,0.000399637,0.000399637,0.000399637
4,103.262,1.10664,1.79242,1.32957,0.61524,0.54203,0.58835,0.3745,1.1748,1.49547,1.34557,0.00039223,0.00039223,0.00039223
5,127.523,1.08957,1.73825,1.32924,0.63536,0.58192,0.62087,0.40862,1.15207,1.42379,1.33809,0.000383974,0.000383974,0.000383974
6,151.854,1.07054,1.66236,1.31248,0.62885,0.56842,0.61114,0.39615,1.15192,1.38717,1.33273,0.000375717,0.000375717,0.000375717
7,176.34,1.07051,1.58666,1.30364,0.66607,0.57776,0.64132,0.42283,1.14656,1.32841,1.33081,0.00036746,0.00036746,0.00036746
8,200.494,1.06858,1.54577,1.29988,0.70223,0.57438,0.65001,0.42866,1.15118,1.32097,1.33271,0.000359204,0.000359204,0.000359204
9,224.846,1.04402,1.48701,1.27985,0.70621,0.56898,0.65423,0.43575,1.1417,1.31662,1.32945,0.000350947,0.000350947,0.000350947
10,249.323,1.02523,1.42422,1.27389,0.66686,0.59172,0.65303,0.4343,1.13129,1.29023,1.31201,0.000342691,0.000342691,0.000342691
11,273.723,0.99275,1.3981,1.26129,0.6835,0.59417,0.65315,0.43323,1.12495,1.28915,1.31244,0.000334434,0.000334434,0.000334434
12,297.564,1.00333,1.35953,1.26255,0.6672,0.62191,0.66226,0.43837,1.1256,1.27395,1.3165,0.000326177,0.000326177,0.000326177
13,321.647,0.99176,1.31214,1.24903,0.67693,0.62324,0.6706,0.45138,1.1008,1.24079,1.29707,0.000317921,0.000317921,0.000317921
14,345.592,0.98535,1.29151,1.2426,0.69986,0.60571,0.67652,0.45251,1.10577,1.23901,1.30076,0.000309664,0.000309664,0.000309664
15,369.55,0.9881,1.26904,1.24598,0.70743,0.63307,0.70201,0.47688,1.09866,1.18104,1.29607,0.000301408,0.000301408,0.000301408
16,393.398,0.97293,1.23852,1.23001,0.69108,0.6176,0.6813,0.45824,1.12163,1.24118,1.31253,0.000293151,0.000293151,0.000293151
17,417.241,0.96042,1.19274,1.23001,0.69854,0.63473,0.69055,0.46595,1.11644,1.20252,1.30214,0.000284894,0.000284894,0.000284894
18,441.623,0.966,1.18464,1.22672,0.69123,0.65749,0.69379,0.46554,1.10917,1.18734,1.29541,0.000276638,0.000276638,0.000276638
19,465.369,0.94507,1.14659,1.21266,0.70001,0.64099,0.7002,0.47828,1.0897,1.16311,1.28382,0.000268381,0.000268381,0.000268381
20,489.133,0.92888,1.12648,1.20426,0.73188,0.63975,0.71006,0.47819,1.11206,1.14746,1.3082,0.000260125,0.000260125,0.000260125
21,513.094,0.92787,1.10353,1.19586,0.71492,0.65022,0.71635,0.48886,1.09177,1.13888,1.29221,0.000251868,0.000251868,0.000251868
22,536.678,0.91614,1.08258,1.19145,0.71809,0.64833,0.70689,0.48482,1.09328,1.12143,1.281,0.000243611,0.000243611,0.000243611
23,560.251,0.91581,1.05984,1.18928,0.72145,0.65581,0.7083,0.48086,1.09803,1.11814,1.28079,0.000235355,0.000235355,0.000235355
24,583.792,0.91511,1.05719,1.19221,0.72837,0.6635,0.72351,0.49598,1.10115,1.1021,1.29029,0.000227098,0.000227098,0.000227098
25,607.584,0.89852,1.01601,1.17142,0.72492,0.65425,0.72006,0.48984,1.08377,1.10603,1.27252,0.000218842,0.000218842,0.000218842
26,631.272,0.88638,1.01035,1.16877,0.73686,0.64798,0.72485,0.49473,1.09206,1.10112,1.28297,0.000210585,0.000210585,0.000210585
27,655.094,0.89356,0.99813,1.17903,0.74159,0.65121,0.72627,0.49075,1.10101,1.10069,1.28512,0.000202328,0.000202328,0.000202328
28,678.763,0.89236,0.99413,1.17524,0.745,0.64526,0.71812,0.49038,1.08617,1.08969,1.27461,0.000194072,0.000194072,0.000194072
29,702.505,0.87053,0.97224,1.16345,0.76415,0.64586,0.73336,0.50913,1.07206,1.07399,1.26562,0.000185815,0.000185815,0.000185815
30,726.285,0.86255,0.95369,1.15102,0.72824,0.6708,0.73017,0.50096,1.08011,1.08548,1.27575,0.000177559,0.000177559,0.000177559
31,749.843,0.87297,0.95506,1.15839,0.72428,0.67017,0.71747,0.49837,1.0774,1.08922,1.27468,0.000169302,0.000169302,0.000169302
32,773.64,0.84451,0.91973,1.14645,0.75589,0.65174,0.73193,0.51161,1.06505,1.05618,1.26138,0.000161045,0.000161045,0.000161045
33,797.607,0.84615,0.91665,1.14492,0.74458,0.67253,0.73382,0.50919,1.0778,1.05627,1.27269,0.000152789,0.000152789,0.000152789
34,821.23,0.84856,0.91236,1.14654,0.74534,0.65927,0.72347,0.50112,1.07503,1.07174,1.26966,0.000144532,0.000144532,0.000144532
35,844.984,0.83527,0.88896,1.13367,0.75556,0.66078,0.73296,0.51245,1.06956,1.03422,1.26919,0.000136276,0.000136276,0.000136276
36,868.806,0.81197,0.87171,1.13285,0.77525,0.66907,0.74363,0.51678,1.06243,1.02753,1.26139,0.000128019,0.000128019,0.000128019
37,892.637,0.81495,0.85266,1.12585,0.75284,0.67274,0.73987,0.5193,1.07111,1.04125,1.27363,0.000119762,0.000119762,0.000119762
38,916.398,0.81495,0.85103,1.12561,0.75285,0.67083,0.73841,0.51543,1.06421,1.03636,1.26087,0.000111506,0.000111506,0.000111506
39,939.996,0.80795,0.83605,1.1154,0.75372,0.67153,0.74325,0.52085,1.06395,1.02277,1.25721,0.000103249,0.000103249,0.000103249
40,963.662,0.80137,0.84294,1.12371,0.75708,0.68358,0.74493,0.51932,1.06718,1.0237,1.26604,9.49926e-05,9.49926e-05,9.49926e-05
41,1003.44,0.75471,0.73733,1.08093,0.75005,0.67157,0.733,0.50891,1.0682,1.04187,1.276,8.6736e-05,8.6736e-05,8.6736e-05
