epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.3921,1.0181,3.13032,1.27692,0.62756,0.50106,0.5608,0.38071,1.03705,1.63514,1.23852,0.000138115,0.000138115,0.000138115
2,56.1842,1.11137,2.08596,1.34091,0.64549,0.54316,0.59174,0.38249,1.14866,1.46716,1.32016,0.000271628,0.000271628,0.000271628
3,84.4689,1.11692,1.90414,1.34152,0.59943,0.51138,0.53787,0.32909,1.22005,1.63497,1.42743,0.000399637,0.000399637,0.000399637
4,112.556,1.1266,1.84285,1.34992,0.59734,0.52131,0.55606,0.35518,1.18733,1.5609,1.37259,0.00039223,0.00039223,0.00039223
5,141.46,1.10732,1.79777,1.34395,0.59388,0.53885,0.56011,0.35082,1.2331,1.53839,1.39247,0.000383974,0.000383974,0.000383974
6,167.217,1.09282,1.71239,1.33272,0.62306,0.54156,0.57006,0.36575,1.17715,1.52152,1.3734,0.000375717,0.000375717,0.000375717
7,193.035,1.08069,1.66013,1.31657,0.62846,0.57524,0.6154,0.39758,1.19466,1.4053,1.37215,0.00036746,0.00036746,0.00036746
8,221.1,1.08866,1.60555,1.32098,0.65024,0.56245,0.6163,0.40292,1.17702,1.39594,1.36049,0.000359204,0.000359204,0.000359204
9,245.62,1.07053,1.5432,1.30317,0.65563,0.55763,0.60283,0.39047,1.18251,1.41852,1.36728,0.000350947,0.000350947,0.000350947
10,272.811,1.04934,1.48788,1.29532,0.67327,0.58644,0.6443,0.42661,1.16998,1.32957,1.34257,0.000342691,0.000342691,0.000342691
11,300.168,1.01941,1.45406,1.2801,0.66091,0.58365,0.63762,0.41333,1.17417,1.31645,1.34578,0.000334434,0.000334434,0.000334434
12,328.858,1.02753,1.43442,1.28391,0.69888,0.59936,0.66057,0.43515,1.13706,1.28742,1.33329,0.000326177,0.000326177,0.000326177
13,357.199,1.00964,1.35544,1.26071,0.6626,0.61682,0.6553,0.43047,1.16164,1.28381,1.34751,0.000317921,0.000317921,0.000317921
14,383.734,1.00844,1.32614,1.26062,0.68919,0.59027,0.65875,0.43612,1.15541,1.28083,1.34233,0.000309664,0.000309664,0.000309664
15,408.865,1.0092,1.32524,1.2616,0.72605,0.60663,0.68107,0.45355,1.14664,1.24985,1.32965,0.000301408,0.000301408,0.000301408
16,433.89,0.99004,1.28753,1.24258,0.71907,0.61054,0.67578,0.45024,1.14723,1.25474,1.32636,0.000293151,0.000293151,0.000293151
17,458.809,0.98999,1.24882,1.24808,0.72604,0.59192,0.67654,0.44851,1.15353,1.24832,1.33409,0.000284894,0.000284894,0.000284894
18,483.783,0.98909,1.24048,1.24755,0.68526,0.61935,0.66898,0.4449,1.13824,1.2298,1.31349,0.000276638,0.000276638,0.000276638
19,508.615,0.96006,1.19269,1.22274,0.67643,0.62537,0.67202,0.44685,1.13958,1.22099,1.32165,0.000268381,0.000268381,0.000268381
20,533.645,0.95097,1.17737,1.22043,0.7172,0.6142,0.68489,0.46374,1.13762,1.21842,1.33019,0.000260125,0.000260125,0.000260125
21,558.792,0.95079,1.15087,1.2173,0.69454,0.63225,0.67961,0.45497,1.13628,1.19309,1.32204,0.000251868,0.000251868,0.000251868
22,583.579,0.93941,1.13067,1.20714,0.71214,0.62042,0.68638,0.46581,1.12788,1.18823,1.3156,0.000243611,0.000243611,0.000243611
23,608.689,0.9341,1.10471,1.20645,0.70377,0.63348,0.67999,0.45569,1.14546,1.18754,1.31734,0.000235355,0.000235355,0.000235355
24,633.542,0.93402,1.10938,1.20569,0.72971,0.6165,0.69296,0.47176,1.11766,1.18029,1.3117,0.000227098,0.000227098,0.000227098
25,658.586,0.9196,1.05652,1.19102,0.70858,0.64214,0.69532,0.47306,1.11647,1.15439,1.29595,0.000218842,0.000218842,0.000218842
26,683.918,0.90186,1.04473,1.18263,0.74645,0.62713,0.70243,0.48068,1.1198,1.15163,1.30673,0.000210585,0.000210585,0.000210585
27,708.777,0.90857,1.03955,1.19386,0.73343,0.63809,0.70204,0.47922,1.11657,1.15666,1.30111,0.000202328,0.000202328,0.000202328
28,733.708,0.90485,1.02177,1.18407,0.76329,0.62686,0.70358,0.48327,1.09855,1.1306,1.29506,0.000194072,0.000194072,0.000194072
29,758.534,0.8853,1.00255,1.17588,0.73036,0.65479,0.71496,0.49079,1.10679,1.12527,1.30145,0.000185815,0.000185815,0.000185815
30,783.372,0.88005,0.99548,1.16662,0.7374,0.6414,0.70258,0.47869,1.12568,1.14623,1.30594,0.000177559,0.000177559,0.000177559
31,808.327,0.89197,0.9912,1.17521,0.76051,0.6314,0.70882,0.48622,1.11044,1.12302,1.30385,0.000169302,0.000169302,0.000169302
32,833.307,0.85724,0.95184,1.15893,0.74355,0.65562,0.71341,0.49137,1.11063,1.09672,1.30082,0.000161045,0.000161045,0.000161045
33,858.096,0.86009,0.95248,1.15588,0.73382,0.6485,0.70929,0.48899,1.10803,1.11076,1.30324,0.000152789,0.000152789,0.000152789
34,883.156,0.86144,0.95316,1.15715,0.74579,0.64231,0.70476,0.48667,1.09462,1.09802,1.29767,0.000144532,0.000144532,0.000144532
