epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.7197,0.99249,3.14839,1.26967,0.52943,0.5437,0.55995,0.3768,1.03239,1.75076,1.25299,0.000138115,0.000138115,0.000138115
2,52.4501,1.09235,2.03108,1.33302,0.59525,0.60223,0.61641,0.40393,1.09087,1.52922,1.2951,0.000271628,0.000271628,0.000271628
3,77.2109,1.09661,1.8629,1.33567,0.59314,0.5261,0.55718,0.33886,1.24305,1.61784,1.45764,0.000399637,0.000399637,0.000399637
4,101.779,1.11452,1.80244,1.34625,0.58485,0.54606,0.56021,0.35382,1.19151,1.67101,1.37371,0.00039223,0.00039223,0.00039223
5,126.41,1.09478,1.74997,1.34274,0.61636,0.57415,0.60437,0.39492,1.16057,1.46041,1.33931,0.000383974,0.000383974,0.000383974
6,151.103,1.07095,1.65208,1.32286,0.63051,0.59574,0.6261,0.40755,1.13624,1.35181,1.33093,0.000375717,0.000375717,0.000375717
7,175.721,1.05718,1.57979,1.30653,0.65114,0.57358,0.61765,0.40645,1.14337,1.38205,1.33191,0.00036746,0.00036746,0.00036746
8,200.637,1.06254,1.53629,1.30329,0.68402,0.58382,0.6557,0.43502,1.12253,1.31381,1.32516,0.000359204,0.000359204,0.000359204
9,226.655,1.04637,1.47992,1.29509,0.66215,0.60018,0.64936,0.42246,1.16272,1.31992,1.34986,0.000350947,0.000350947,0.000350947
10,252.935,1.02618,1.42225,1.28268,0.70496,0.59794,0.66169,0.43585,1.14547,1.30324,1.32124,0.000342691,0.000342691,0.000342691
11,279.469,0.99577,1.398,1.26631,0.66086,0.60363,0.64729,0.42499,1.14046,1.31221,1.32582,0.000334434,0.000334434,0.000334434
12,304.863,1.0094,1.36001,1.27193,0.68463,0.62823,0.67768,0.45136,1.11532,1.24052,1.30991,0.000326177,0.000326177,0.000326177
13,330.058,0.9859,1.29384,1.24729,0.70947,0.62036,0.68605,0.45569,1.10997,1.21457,1.30386,0.000317921,0.000317921,0.000317921
14,355.239,0.98819,1.28077,1.24691,0.70093,0.61981,0.67583,0.45123,1.12466,1.22292,1.31723,0.000309664,0.000309664,0.000309664
15,380.404,0.98783,1.25836,1.2465,0.71078,0.63336,0.69667,0.46538,1.09265,1.18717,1.30117,0.000301408,0.000301408,0.000301408
16,405.712,0.96666,1.22286,1.23217,0.71003,0.65017,0.70085,0.47206,1.10489,1.18706,1.30096,0.000293151,0.000293151,0.000293151
17,432.031,0.96315,1.18036,1.23651,0.71538,0.62121,0.70026,0.46852,1.09828,1.18261,1.28785,0.000284894,0.000284894,0.000284894
18,457.181,0.97196,1.19406,1.23618,0.68783,0.62975,0.67949,0.45787,1.11327,1.1895,1.31655,0.000276638,0.000276638,0.000276638
19,483.872,0.94309,1.14533,1.21711,0.70637,0.63516,0.69871,0.47606,1.08366,1.16715,1.28069,0.000268381,0.000268381,0.000268381
20,508.853,0.92946,1.11304,1.20776,0.71052,0.6461,0.70675,0.47607,1.11408,1.15238,1.3017,0.000260125,0.000260125,0.000260125
21,533.389,0.93586,1.10699,1.2035,0.70965,0.64448,0.70588,0.47538,1.10999,1.17478,1.30852,0.000251868,0.000251868,0.000251868
22,558.13,0.91439,1.07023,1.19451,0.72437,0.65645,0.71219,0.48118,1.10566,1.12586,1.29747,0.000243611,0.000243611,0.000243611
23,583.677,0.91673,1.06008,1.19435,0.72026,0.65833,0.71125,0.48426,1.10536,1.12318,1.29381,0.000235355,0.000235355,0.000235355
24,608.71,0.91211,1.04711,1.19298,0.73117,0.65831,0.72554,0.49774,1.09714,1.11398,1.28709,0.000227098,0.000227098,0.000227098
25,634.687,0.90216,1.00582,1.17922,0.71925,0.6742,0.72442,0.49582,1.08305,1.08893,1.28267,0.000218842,0.000218842,0.000218842
26,660.131,0.88496,0.9853,1.17055,0.73686,0.64729,0.72526,0.49675,1.093,1.09584,1.28443,0.000210585,0.000210585,0.000210585
27,686.849,0.88979,0.98133,1.17936,0.73018,0.6749,0.73177,0.50501,1.08428,1.07026,1.27974,0.000202328,0.000202328,0.000202328
28,712.55,0.89056,0.97458,1.17498,0.73159,0.67601,0.72958,0.50228,1.07095,1.0517,1.26698,0.000194072,0.000194072,0.000194072
29,737.584,0.86748,0.96308,1.16516,0.73161,0.66598,0.72988,0.50424,1.07609,1.06681,1.27419,0.000185815,0.000185815,0.000185815
30,763.689,0.86585,0.94717,1.15596,0.7493,0.6605,0.73331,0.5071,1.08069,1.07117,1.27286,0.000177559,0.000177559,0.000177559
31,789.88,0.87909,0.94802,1.16454,0.75909,0.65521,0.73227,0.50388,1.08635,1.06189,1.27775,0.000169302,0.000169302,0.000169302
32,814.978,0.846,0.91309,1.15103,0.74264,0.67711,0.73877,0.51042,1.0761,1.04598,1.27469,0.000161045,0.000161045,0.000161045
33,839.192,0.84354,0.91153,1.14687,0.75715,0.66327,0.73944,0.51334,1.06746,1.04524,1.27048,0.000152789,0.000152789,0.000152789
34,863.362,0.8457,0.8985,1.14789,0.73712,0.66549,0.73374,0.50641,1.06465,1.03238,1.26987,0.000144532,0.000144532,0.000144532
35,887.465,0.83678,0.88596,1.13679,0.75406,0.67603,0.74466,0.52013,1.06105,1.02007,1.26011,0.000136276,0.000136276,0.000136276
36,911.697,0.80674,0.86245,1.12919,0.75977,0.67423,0.74825,0.52244,1.06595,1.02928,1.26718,0.000128019,0.000128019,0.000128019
37,935.745,0.81587,0.84593,1.12736,0.75866,0.66696,0.74649,0.5213,1.071,1.02697,1.26838,0.000119762,0.000119762,0.000119762
38,959.803,0.81695,0.84349,1.12718,0.75679,0.67399,0.75133,0.52191,1.05737,1.01486,1.25748,0.000111506,0.000111506,0.000111506
39,983.868,0.81019,0.82466,1.11839,0.76124,0.66656,0.74705,0.52176,1.06101,1.01178,1.26293,0.000103249,0.000103249,0.000103249
40,1008.03,0.8034,0.83448,1.12611,0.76525,0.66846,0.75054,0.52201,1.0622,1.01812,1.26137,9.49926e-05,9.49926e-05,9.49926e-05
41,1045.58,0.76273,0.73412,1.08964,0.74951,0.67648,0.7381,0.51465,1.05957,1.02781,1.26601,8.6736e-05,8.6736e-05,8.6736e-05
42,1069.26,0.73557,0.66499,1.06938,0.75076,0.67649,0.7437,0.51611,1.06525,1.03013,1.27492,7.84794e-05,7.84794e-05,7.84794e-05
43,1093.2,0.7185,0.65465,1.06036,0.77281,0.66414,0.74936,0.52106,1.05778,1.00664,1.26808,7.02228e-05,7.02228e-05,7.02228e-05
44,1117.13,0.71329,0.63385,1.04946,0.76409,0.67519,0.74754,0.52201,1.05615,1.01972,1.26681,6.19662e-05,6.19662e-05,6.19662e-05
45,1140.74,0.70875,0.62444,1.04478,0.77283,0.67075,0.74862,0.52315,1.05704,1.00831,1.26731,5.37096e-05,5.37096e-05,5.37096e-05
