epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.7844,0.99249,3.14839,1.26967,0.50968,0.37638,0.39756,0.2562,1.1608,2.1703,1.38084,0.000138115,0.000138115,0.000138115
2,62.9775,1.09235,2.03108,1.33302,0.52587,0.48122,0.46919,0.29457,1.24286,1.89536,1.4307,0.000271628,0.000271628,0.000271628
3,89.9478,1.09661,1.8629,1.33567,0.47424,0.36373,0.3525,0.19326,1.41958,2.24156,1.67307,0.000399637,0.000399637,0.000399637
4,116.142,1.11452,1.80244,1.34625,0.5089,0.41008,0.40437,0.24237,1.33597,2.2507,1.53905,0.00039223,0.00039223,0.00039223
5,142.436,1.09478,1.74997,1.34274,0.5235,0.42279,0.43103,0.26754,1.30744,2.04092,1.51503,0.000383974,0.000383974,0.000383974
6,170.198,1.07095,1.65208,1.32286,0.54571,0.42604,0.45337,0.28096,1.28633,1.8016,1.4732,0.000375717,0.000375717,0.000375717
7,197.063,1.05718,1.57979,1.30653,0.5632,0.45144,0.4782,0.30201,1.2834,1.75287,1.47037,0.00036746,0.00036746,0.00036746
8,222.746,1.06254,1.53629,1.30329,0.58431,0.4496,0.48564,0.30974,1.27813,1.84526,1.46897,0.000359204,0.000359204,0.000359204
9,248.366,1.04637,1.47992,1.29509,0.57281,0.48509,0.51384,0.32,1.30178,1.72974,1.47975,0.000350947,0.000350947,0.000350947
10,275.478,1.02618,1.42225,1.28268,0.59329,0.43003,0.47154,0.29726,1.3143,1.96177,1.49014,0.000342691,0.000342691,0.000342691
11,302.27,0.99577,1.398,1.26631,0.52234,0.42877,0.43037,0.25872,1.36716,1.94398,1.55471,0.000334434,0.000334434,0.000334434
