epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.8167,1.0022,3.12305,1.26363,0.62017,0.52936,0.58257,0.39624,1.04013,1.61404,1.24486,0.000138115,0.000138115,0.000138115
2,52.7631,1.08742,1.99839,1.32044,0.61358,0.59677,0.62023,0.41142,1.09279,1.43649,1.30017,0.000271628,0.000271628,0.000271628
3,77.8309,1.09643,1.84497,1.32877,0.55759,0.54082,0.54612,0.3466,1.17117,1.59433,1.36065,0.000399637,0.000399637,0.000399637
4,102.723,1.11676,1.81276,1.34583,0.59385,0.53579,0.56917,0.36135,1.17198,1.5277,1.36664,0.00039223,0.00039223,0.00039223
5,127.06,1.10115,1.75314,1.33935,0.61031,0.55406,0.58268,0.37933,1.163,1.49086,1.36194,0.000383974,0.000383974,0.000383974
6,151.67,1.07988,1.69171,1.32562,0.62568,0.56502,0.60705,0.38374,1.1709,1.42332,1.36196,0.000375717,0.000375717,0.000375717
7,176.267,1.07239,1.61496,1.3118,0.64859,0.57517,0.63118,0.40788,1.17172,1.34281,1.34888,0.00036746,0.00036746,0.00036746
8,202.293,1.06682,1.55806,1.30597,0.67891,0.5958,0.6525,0.4276,1.16058,1.3385,1.35441,0.000359204,0.000359204,0.000359204
9,227.261,1.05816,1.48907,1.30183,0.64624,0.58634,0.624,0.4008,1.15043,1.3404,1.33829,0.000350947,0.000350947,0.000350947
10,251.834,1.03373,1.44844,1.28215,0.68972,0.60159,0.66454,0.4323,1.15583,1.28226,1.33933,0.000342691,0.000342691,0.000342691
11,276.488,1.00554,1.42203,1.27425,0.68,0.5929,0.64684,0.42564,1.13767,1.28882,1.32231,0.000334434,0.000334434,0.000334434
12,300.848,1.00851,1.38763,1.27062,0.67184,0.62572,0.67011,0.4461,1.11125,1.249,1.29841,0.000326177,0.000326177,0.000326177
13,327.231,0.99986,1.32978,1.25722,0.68794,0.61657,0.67755,0.44933,1.12943,1.23529,1.31756,0.000317921,0.000317921,0.000317921
14,355.041,0.99479,1.30027,1.25062,0.69225,0.61102,0.67181,0.4435,1.12802,1.23012,1.31408,0.000309664,0.000309664,0.000309664
15,381.029,0.98991,1.27568,1.2493,0.71627,0.61962,0.6836,0.46191,1.11975,1.2056,1.30318,0.000301408,0.000301408,0.000301408
16,408.155,0.97544,1.24515,1.23218,0.71337,0.61206,0.68043,0.45651,1.11671,1.21281,1.3064,0.000293151,0.000293151,0.000293151
17,434.384,0.96953,1.21706,1.23918,0.68666,0.62405,0.68367,0.45807,1.12127,1.19764,1.30948,0.000284894,0.000284894,0.000284894
18,461.158,0.96838,1.21115,1.22997,0.7019,0.64184,0.69188,0.45997,1.11992,1.18098,1.30469,0.000276638,0.000276638,0.000276638
19,487.143,0.94547,1.15295,1.21143,0.7116,0.62624,0.69437,0.46322,1.12244,1.1724,1.30648,0.000268381,0.000268381,0.000268381
20,512.97,0.93641,1.13137,1.21092,0.73567,0.63401,0.7024,0.46898,1.11539,1.16664,1.3021,0.000260125,0.000260125,0.000260125
21,538.11,0.93606,1.11124,1.20338,0.70277,0.63114,0.69133,0.46255,1.12856,1.18119,1.31816,0.000251868,0.000251868,0.000251868
22,563.089,0.92683,1.09568,1.19805,0.70463,0.65996,0.71265,0.48024,1.10376,1.13963,1.29438,0.000243611,0.000243611,0.000243611
23,590.117,0.91784,1.07721,1.19282,0.71411,0.65277,0.70715,0.47844,1.11658,1.13521,1.298,0.000235355,0.000235355,0.000235355
24,615.243,0.91372,1.06448,1.19231,0.75085,0.63412,0.71446,0.48176,1.13197,1.13677,1.31084,0.000227098,0.000227098,0.000227098
25,641.061,0.90376,1.02776,1.17973,0.71593,0.65641,0.71001,0.48209,1.09022,1.11869,1.28659,0.000218842,0.000218842,0.000218842
26,666.979,0.88703,1.00626,1.17161,0.73414,0.67147,0.73441,0.50126,1.10083,1.09065,1.29236,0.000210585,0.000210585,0.000210585
27,692.134,0.89341,1.01016,1.18471,0.72568,0.65624,0.71501,0.48626,1.10962,1.12611,1.30611,0.000202328,0.000202328,0.000202328
28,718.005,0.89567,0.9957,1.1784,0.75097,0.65243,0.72671,0.49625,1.09234,1.09321,1.28587,0.000194072,0.000194072,0.000194072
29,744.417,0.87433,0.97452,1.1679,0.73229,0.66124,0.72502,0.49603,1.09585,1.09605,1.28585,0.000185815,0.000185815,0.000185815
30,769.44,0.87029,0.9612,1.15838,0.72647,0.67929,0.73572,0.50424,1.09588,1.06673,1.2803,0.000177559,0.000177559,0.000177559
31,793.983,0.87722,0.96514,1.16144,0.75174,0.6561,0.73275,0.49994,1.08891,1.07035,1.28741,0.000169302,0.000169302,0.000169302
32,819.184,0.84453,0.92909,1.14814,0.74334,0.66974,0.734,0.50524,1.08568,1.05962,1.28357,0.000161045,0.000161045,0.000161045
33,844.973,0.84647,0.9177,1.14498,0.73702,0.66911,0.72775,0.50485,1.08559,1.06139,1.28215,0.000152789,0.000152789,0.000152789
34,872.125,0.85369,0.92343,1.15044,0.7512,0.64403,0.72803,0.49792,1.08116,1.05505,1.28322,0.000144532,0.000144532,0.000144532
35,899.522,0.8433,0.89786,1.13877,0.74986,0.67417,0.735,0.50748,1.08584,1.06457,1.28203,0.000136276,0.000136276,0.000136276
36,926.538,0.81558,0.87591,1.1332,0.74162,0.67507,0.73839,0.51283,1.08217,1.03319,1.27369,0.000128019,0.000128019,0.000128019
37,953.036,0.81354,0.85992,1.12834,0.73578,0.679,0.74089,0.51235,1.08145,1.05013,1.28567,0.000119762,0.000119762,0.000119762
38,978.581,0.82012,0.85379,1.12814,0.76883,0.65487,0.74155,0.51361,1.07197,1.03281,1.26943,0.000111506,0.000111506,0.000111506
39,1004.24,0.81329,0.83699,1.11789,0.76526,0.65412,0.73937,0.51269,1.07796,1.04245,1.27587,0.000103249,0.000103249,0.000103249
40,1030.5,0.80584,0.84912,1.12484,0.75619,0.68231,0.74371,0.51988,1.07167,1.03103,1.26743,9.49926e-05,9.49926e-05,9.49926e-05
41,1070.41,0.77032,0.76912,1.09422,0.74565,0.67512,0.73256,0.50906,1.07111,1.03733,1.27754,8.6736e-05,8.6736e-05,8.6736e-05
42,1096.52,0.73396,0.67709,1.06676,0.75889,0.67017,0.73771,0.51474,1.06938,1.03639,1.27629,7.84794e-05,7.84794e-05,7.84794e-05
43,1123.39,0.72224,0.67378,1.06209,0.76497,0.6692,0.74114,0.51479,1.06799,1.03466,1.27882,7.02228e-05,7.02228e-05,7.02228e-05
44,1150.68,0.71633,0.64419,1.05139,0.76235,0.66753,0.74478,0.52072,1.06944,1.0199,1.27476,6.19662e-05,6.19662e-05,6.19662e-05
45,1177.48,0.71188,0.63746,1.04386,0.77887,0.66276,0.74124,0.52054,1.06214,1.02244,1.27111,5.37096e-05,5.37096e-05,5.37096e-05
46,1203.1,0.69604,0.62242,1.02982,0.77665,0.67648,0.74739,0.52539,1.05886,1.0136,1.2723,4.5453e-05,4.5453e-05,4.5453e-05
47,1229.3,0.6882,0.60697,1.0369,0.74525,0.69533,0.75107,0.52729,1.06853,1.01365,1.27765,3.71964e-05,3.71964e-05,3.71964e-05
48,1258.1,0.69099,0.60108,1.03229,0.77018,0.68321,0.74959,0.5272,1.05852,1.00738,1.26878,2.89398e-05,2.89398e-05,2.89398e-05
49,1284.85,0.6861,0.59806,1.02405,0.76552,0.69095,0.74981,0.53012,1.05562,1.00541,1.2684,2.06832e-05,2.06832e-05,2.06832e-05
50,1312.22,0.68078,0.59869,1.02813,0.75387,0.69667,0.75318,0.53331,1.0527,1.00223,1.26677,1.24266e-05,1.24266e-05,1.24266e-05
